what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.6.201.v20150819-1034,"org.eclipse.ltk.core.refactoring",1456028519760
started,bundle,org.eclipse.ltk.ui.refactoring,3.7.200.v20140625-1835,"org.eclipse.ltk.ui.refactoring",1456028519761
started,bundle,org.eclipse.m2e.logback.configuration,1.6.2.20150902-0002,"org.eclipse.m2e.logback.configuration",1456028519762
started,bundle,org.eclipse.mylyn.bugzilla.core,3.17.0.v20150828-2026,"org.eclipse.mylyn.bugzilla.core",1456028519762
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.17.0.v20150717-1708,"org.eclipse.mylyn.bugzilla.ui",1456028519763
started,bundle,org.eclipse.mylyn.builds.ui,1.9.0.v20150908-1655,"org.eclipse.mylyn.builds.ui",1456028519764
started,bundle,org.eclipse.mylyn.commons.core,3.17.0.v20150625-2042,"org.eclipse.mylyn.commons.core",1456028519764
started,bundle,org.eclipse.mylyn.commons.net,3.17.0.v20150706-2057,"org.eclipse.mylyn.commons.net",1456028519764
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.9.0.v20150625-2042,"org.eclipse.mylyn.commons.notifications.core",1456028519765
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.9.0.v20150828-2041,"org.eclipse.mylyn.commons.notifications.feed",1456028519765
started,bundle,org.eclipse.mylyn.commons.repositories.ui,1.9.0.v20150625-2042,"org.eclipse.mylyn.commons.repositories.ui",1456028519766
started,bundle,org.eclipse.mylyn.commons.ui,3.17.0.v20150828-2041,"org.eclipse.mylyn.commons.ui",1456028519792
started,bundle,org.eclipse.mylyn.commons.workbench,3.17.0.v20150828-2041,"org.eclipse.mylyn.commons.workbench",1456028519793
started,bundle,org.eclipse.mylyn.context.core,3.17.0.v20150625-2044,"org.eclipse.mylyn.context.core",1456028519794
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.17.0.v20150625-2044,"org.eclipse.mylyn.context.tasks.ui",1456028519795
started,bundle,org.eclipse.mylyn.monitor.ui,3.17.0.v20150828-2041,"org.eclipse.mylyn.monitor.ui",1456028519795
started,bundle,org.eclipse.mylyn.tasks.ui,3.17.0.v20150909-1822,"org.eclipse.mylyn.tasks.ui",1456028519797
started,bundle,org.eclipse.mylyn.team.ui,3.17.0.v20150625-2044,"org.eclipse.mylyn.team.ui",1456028519798
started,bundle,org.eclipse.oomph.base,1.2.0.v20150915-0926,"org.eclipse.oomph.base",1456028519798
started,bundle,org.eclipse.oomph.base.edit,1.2.0.v20150915-0926,"org.eclipse.oomph.base.edit",1456028519799
started,bundle,org.eclipse.oomph.jreinfo.ui,1.2.0.v20150915-0926,"org.eclipse.oomph.jreinfo.ui",1456028519800
started,bundle,org.eclipse.oomph.p2,1.2.0.v20150915-0926,"org.eclipse.oomph.p2",1456028519800
started,bundle,org.eclipse.oomph.p2.core,1.2.0.v20150915-0926,"org.eclipse.oomph.p2.core",1456028519801
started,bundle,org.eclipse.oomph.p2.edit,1.2.0.v20150915-0926,"org.eclipse.oomph.p2.edit",1456028519802
started,bundle,org.eclipse.oomph.p2.ui,1.2.0.v20150915-0926,"org.eclipse.oomph.p2.ui",1456028519805
started,bundle,org.eclipse.oomph.predicates,1.2.0.v20150915-0926,"org.eclipse.oomph.predicates",1456028519806
started,bundle,org.eclipse.oomph.predicates.edit,1.2.0.v20150915-0926,"org.eclipse.oomph.predicates.edit",1456028519807
started,bundle,org.eclipse.oomph.preferences,1.2.0.v20150915-0926,"org.eclipse.oomph.preferences",1456028519809
started,bundle,org.eclipse.oomph.resources,1.2.0.v20150915-0926,"org.eclipse.oomph.resources",1456028519810
started,bundle,org.eclipse.oomph.setup,1.2.0.v20150915-0926,"org.eclipse.oomph.setup",1456028519810
started,bundle,org.eclipse.oomph.setup.core,1.2.0.v20150915-0926,"org.eclipse.oomph.setup.core",1456028519811
started,bundle,org.eclipse.oomph.setup.edit,1.2.0.v20150915-0926,"org.eclipse.oomph.setup.edit",1456028519814
started,bundle,org.eclipse.oomph.setup.p2,1.2.0.v20150915-0926,"org.eclipse.oomph.setup.p2",1456028519815
started,bundle,org.eclipse.oomph.setup.p2.edit,1.2.0.v20150915-0926,"org.eclipse.oomph.setup.p2.edit",1456028519816
started,bundle,org.eclipse.oomph.setup.sync,1.2.0.v20150915-0926,"org.eclipse.oomph.setup.sync",1456028519866
started,bundle,org.eclipse.oomph.setup.ui,1.2.0.v20150915-0926,"org.eclipse.oomph.setup.ui",1456028519867
started,bundle,org.eclipse.oomph.ui,1.2.0.v20150915-0926,"org.eclipse.oomph.ui",1456028519888
started,bundle,org.eclipse.oomph.util,1.2.0.v20150915-0926,"org.eclipse.oomph.util",1456028519889
started,bundle,org.eclipse.oomph.workingsets,1.2.0.v20150915-0926,"org.eclipse.oomph.workingsets",1456028519889
