what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456068868922
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456068879240
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456068881690
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1456068889649
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1456068892660
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.saveAll",1456068895255
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456068920759
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456068932558
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.text.contentAssist.proposals",1456068939632
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456068942529
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456068961931
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1456068981681
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.text.contentAssist.proposals",1456069028331
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.text.contentAssist.proposals",1456069042329
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456069052317
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456069082669
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.text.contentAssist.proposals",1456069089460
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.text.contentAssist.proposals",1456069105660
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.text.contentAssist.proposals",1456069120905
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1456069127115
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1456069128522
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1456069129092
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.text.contentAssist.proposals",1456069133491
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.text.contentAssist.proposals",1456069161615
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456069164306
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456069167616
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.copy",1456069171217
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.copy",1456069171410
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.paste",1456069173686
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1456069181110
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1456069184242
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1456069186373
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.text.contentAssist.proposals",1456069196727
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.text.contentAssist.proposals",1456069206930
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456069208961
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456069218949
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1456069228466
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.text.contentAssist.proposals",1456069231878
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456069234693
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456069241288
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1456069249842
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1456069250819
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456069252320
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456069257379
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456069259754
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456069266279
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.text.contentAssist.proposals",1456069270779
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1456069279812
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456069283089
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456069289439
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456069289961
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456069290164
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456069293437
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456069293808
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1456069295335
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456069295354
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456069296702
